560,360
27,17,0
7,7,2,21
8,7,2,1
18,1,2,1
2,7,4,41
2,7,4,11
26,1,5
0,2,1
0,10,1
1,6,1
1,7,1
1,8,1
1,15,1
3,17,1
4,5,1
5,0,1
5,6,1
6,16,1
7,8,1
8,4,1
8,17,1
9,9,1
9,11,1
9,13,1
9,15,1
10,9,1
10,17,1
11,9,1
11,11,1
11,12,1
12,9,1
12,13,1
12,17,1
13,0,1
13,11,1
13,13,1
13,17,1
14,9,1
14,11,1
15,4,1
15,9,1
15,11,1
15,12,1
15,13,1
16,0,1
17,4,1
17,9,1
17,11,1
17,13,1
17,16,1
18,0,1
18,14,1
18,17,1
19,7,1
20,16,1
21,0,1
21,3,1
22,8,1
22,11,1
22,12,1
22,17,1
23,0,1
23,4,1
24,2,1
24,9,1
24,11,1
24,15,1
25,17,1
26,0,1
26,2,1
26,4,1
26,7,1
27,0,1
27,1,1
27,2,1
